#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARGOS	ERF24	4530.OS04T0444300-01	4530.OS09T0522200-01	0	0	0	0	0	0	0	0.560	0.560
ASY1	OsJ_29287	4530.OS09T0506800-02	4530.OS09T0401000-01	0	0	0	0	0	0	0	0.694	0.694
ASY1	ERF24	4530.OS09T0506800-02	4530.OS09T0522200-01	0	0	0	0	0	0.048	0	0.465	0.469
BURP3	NCED4	4530.OS01T0733500-01	4530.OS07T0154100-01	0	0	0	0	0	0	0	0.496	0.495
BURP3	ERF24	4530.OS01T0733500-01	4530.OS09T0522200-01	0	0	0	0	0	0	0	0.499	0.499
CYP707A5	OS09T0530275-00	4530.OS02T0703600-01	4530.OS09T0530275-00	0	0	0.415	0	0	0	0	0.054	0.422
CYP707A5	NCED4	4530.OS02T0703600-01	4530.OS07T0154100-01	0	0	0	0	0.044	0	0	0.564	0.565
CYP707A5	ERF24	4530.OS02T0703600-01	4530.OS09T0522200-01	0	0	0	0	0.555	0	0	0.150	0.605
CYP99A2	OsJ_02543	4530.OS04T0180400-01	4530.OS01T0606900-01	0	0	0	0	0	0	0	0.477	0.477
CYP99A2	HSFC1A	4530.OS04T0180400-01	4530.OS01T0625300-01	0	0	0	0	0	0	0	0.477	0.477
CYP99A2	CYP99A3	4530.OS04T0180400-01	4530.OS04T0178400-01	0	0	0.449	0.982	0.828	0	0	0.867	0.831
CYP99A2	ERF24	4530.OS04T0180400-01	4530.OS09T0522200-01	0	0	0	0	0	0	0	0.477	0.477
CYP99A3	OsJ_02543	4530.OS04T0178400-01	4530.OS01T0606900-01	0	0	0	0	0	0	0	0.477	0.477
CYP99A3	HSFC1A	4530.OS04T0178400-01	4530.OS01T0625300-01	0	0	0	0	0	0	0	0.477	0.477
CYP99A3	ERF24	4530.OS04T0178400-01	4530.OS09T0522200-01	0	0	0	0	0	0	0	0.477	0.477
DREB1B	OS01T0140700-00	4530.OS09T0522000-01	4530.OS01T0140700-00	0	0	0	0	0	0	0	0.569	0.569
DREB1B	OS01T0693400-01	4530.OS09T0522000-01	4530.OS01T0693400-01	0	0	0	0	0	0	0	0.561	0.561
DREB1B	ERF24	4530.OS09T0522000-01	4530.OS09T0522200-01	0	0	0	0	0.645	0	0	0.850	0.944
DREB2D	HOX13	4530.OS05T0473300-01	4530.OS03T0188900-01	0	0	0	0	0	0	0	0.774	0.774
DREB2D	OsJ_13136	4530.OS05T0473300-01	4530.OS03T0820300-01	0	0	0	0	0	0	0	0.691	0.691
DREB2D	HOX17	4530.OS05T0473300-01	4530.OS04T0548700-01	0	0	0	0	0	0	0	0.774	0.774
DREB2D	ROC4	4530.OS05T0473300-01	4530.OS04T0569100-01	0	0	0	0	0	0	0	0.773	0.773
DREB2D	OSH71	4530.OS05T0473300-01	4530.OS05T0129700-01	0	0	0	0	0	0	0	0.770	0.770
DREB2D	ERF24	4530.OS05T0473300-01	4530.OS09T0522200-01	0	0	0	0	0	0	0	0.563	0.563
DREB2D	OSH45	4530.OS05T0473300-01	4530.OS08T0292900-01	0	0	0	0	0	0	0	0.774	0.774
ERF24	LPR5	4530.OS09T0522200-01	4530.OS01T0127200-01	0	0	0	0	0	0	0	0.770	0.770
ERF24	OS01T0140700-00	4530.OS09T0522200-01	4530.OS01T0140700-00	0	0	0	0	0	0	0	0.500	0.499
ERF24	P0034C11.1	4530.OS09T0522200-01	4530.OS01T0246700-01	0	0	0	0	0.123	0	0	0.428	0.477
ERF24	RAA1	4530.OS09T0522200-01	4530.OS01T0257300-01	0	0	0	0	0	0	0	0.409	0.408
ERF24	OsJ_02543	4530.OS09T0522200-01	4530.OS01T0606900-01	0	0	0	0	0	0	0	0.606	0.606
ERF24	HSFC1A	4530.OS09T0522200-01	4530.OS01T0625300-01	0	0	0	0	0	0	0	0.606	0.606
ERF24	OsJ_02889	4530.OS09T0522200-01	4530.OS01T0659200-01	0	0	0	0	0	0	0	0.549	0.549
ERF24	OS01T0693400-01	4530.OS09T0522200-01	4530.OS01T0693400-01	0	0	0	0	0.128	0	0	0.348	0.407
ERF24	OsJ_03777	4530.OS09T0522200-01	4530.OS01T0801500-01	0	0	0	0	0	0	0	0.500	0.499
ERF24	OS01T0819200-00	4530.OS09T0522200-01	4530.OS01T0819200-00	0	0	0	0	0	0	0	0.465	0.465
ERF24	OS01T0819300-01	4530.OS09T0522200-01	4530.OS01T0819300-01	0	0	0	0	0	0	0	0.465	0.465
ERF24	WRKY24	4530.OS09T0522200-01	4530.OS01T0826400-01	0	0	0	0	0.190	0	0	0.295	0.405
ERF24	OsJ_04542	4530.OS09T0522200-01	4530.OS01T0916600-01	0	0	0	0	0	0	0	0.561	0.561
ERF24	OsJ_04706	4530.OS09T0522200-01	4530.OS01T0938200-01	0	0	0	0	0	0	0	0.440	0.440
ERF24	OsJ_18736	4530.OS09T0522200-01	4530.OS01T0940700-02	0	0	0	0	0	0	0	0.524	0.524
ERF24	OsJ_04739	4530.OS09T0522200-01	4530.OS01T0941200-01	0	0	0	0	0	0	0	0.462	0.461
ERF24	OS01T0944500-00	4530.OS09T0522200-01	4530.OS01T0944500-00	0	0	0	0	0	0	0	0.524	0.524
ERF24	OS01T0944700-01	4530.OS09T0522200-01	4530.OS01T0944700-01	0	0	0	0	0	0	0	0.462	0.461
ERF24	OS01T0952900-01	4530.OS09T0522200-01	4530.OS01T0952900-01	0	0	0	0	0.128	0	0	0.343	0.402
ERF24	TUB5	4530.OS09T0522200-01	4530.OS02T0167300-01	0	0	0	0	0	0	0	0.563	0.563
ERF24	OS02T0202000-00	4530.OS09T0522200-01	4530.OS02T0202000-00	0	0	0	0	0	0	0	0.571	0.571
ERF24	OS02T0610500-01	4530.OS09T0522200-01	4530.OS02T0610500-01	0	0	0	0	0	0	0	0.423	0.422
ERF24	OS02T0634800-01	4530.OS09T0522200-01	4530.OS02T0634800-01	0	0	0	0	0	0	0	0.425	0.424
ERF24	HOX13	4530.OS09T0522200-01	4530.OS03T0188900-01	0	0	0	0	0	0	0	0.561	0.561
ERF24	OsJ_11413	4530.OS09T0522200-01	4530.OS03T0445700-01	0	0	0	0	0	0	0	0.693	0.693
ERF24	OS03T0609500-01	4530.OS09T0522200-01	4530.OS03T0609500-01	0	0	0	0	0	0	0	0.566	0.566
ERF24	TUBB8	4530.OS09T0522200-01	4530.OS03T0661300-01	0	0	0	0	0	0	0	0.496	0.495
ERF24	OS03T0764600-01	4530.OS09T0522200-01	4530.OS03T0764600-01	0	0	0	0	0	0	0	0.495	0.495
ERF24	OsJ_13136	4530.OS09T0522200-01	4530.OS03T0820300-01	0	0	0	0	0	0	0	0.420	0.420
ERF24	HOX17	4530.OS09T0522200-01	4530.OS04T0548700-01	0	0	0	0	0	0	0	0.562	0.562
ERF24	ROC4	4530.OS09T0522200-01	4530.OS04T0569100-01	0	0	0	0	0	0	0	0.501	0.501
ERF24	OS04T0655700-00	4530.OS09T0522200-01	4530.OS04T0655700-00	0	0	0	0	0	0	0	0.454	0.454
